7/9/65, segunda-feira, Independência do Brasil
12/10/65, segunda-feira, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/65, segunda-feira, Finados
15/11/65, domingo, Proclamação da República
25/12/65, sexta-feira, Natal
1/1/66, sexta-feira, Confraternização Universal
22/2/66, segunda-feira, Carnaval
23/2/66, terça-feira, Carnaval
9/4/66, sexta-feira, Paixão de Cristo
21/4/66, quarta-feira, Tiradentes
1/5/66, sábado, Dia do Trabalho
10/6/66, quinta-feira, Corpus Christi
7/9/66, terça-feira, Independência do Brasil
12/10/66, terça-feira, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/66, terça-feira, Finados
15/11/66, segunda-feira, Proclamação da República
25/12/66, sábado, Natal
1/1/67,sábado, Confraternização Universal
14/2/67, segunda-feira, Carnaval
15/2/67, terça-feira, Carnaval
1/4/67, sexta-feira, Paixão de Cristo
21/4/67,quinta-feira, Tiradentes
1/5/67, domingo, Dia do Trabalho
2/6/67, quinta-feira, Corpus Christi
7/9/67, quarta-feira, Independência do Brasil
12/10/67, quarta-feira, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/67, quarta-feira, Finados
15/11/67, terça-feira, Proclamação da República
25/12/67, domingo, Natal 
1/1/68, domingo, Confraternização Universal
5/3/68, segunda-feira, Carnaval
6/3/68, terça-feira, Carnaval
20/4/68, sexta-feira, Paixão de Cristo
21/4/68, sábado, Tiradentes
1/5/68, terça-feira, Dia do Trabalho
21/6/68, quinta-feira, Corpus Christi
7/9/68, sexta-feira, Independência do Brasil
12/10/68, sexta-feira, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/68, sexta-feira, Finados
15/11/68, quinta-feira, Proclamação da República
25/12/68, terça-feira, Natal
1/1/69, terça-feira, Confraternização Universal
25/2/69, segunda-feira, Carnaval
26/2/69, terça-feira, Carnaval
12/4/69, sexta-feira, Paixão de Cristo
21/4/69, domingo, Tiradentes
1/5/69, quarta-feira, Dia do Trabalho
13/6/69, quinta-feira, Corpus Christi
7/9/69, sábado, Independência do Brasil
12/10/69, sábado, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/69, sábado, Finados
15/11/69, sexta-feira, Proclamação da República
25/12/69, quarta-feira, Natal
1/1/70, quarta-feira, Confraternização Universal
10/2/70, segunda-feira, Carnaval
11/2/70, terça-feira, Carnaval
28/3/70, sexta-feira, Paixão de Cristo
21/4/70, segunda-feira, Tiradentes
1/5/70, quinta-feira, Dia do Trabalho
29/5/70, quinta-feira, Corpus Christi
7/9/70, domingo, Independência do Brasil
12/10/70, domingo, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/70, domingo, Finados
15/11/70, sábado, Proclamação da República
25/12/70, quinta-feira, Natal
1/1/71, quinta-feira, Confraternização Universal
2/3/71, segunda-feira, Carnaval
3/3/71, terça-feira, Carnaval
17/4/71, sexta-feira, Paixão de Cristo
21/4/71, terça-feira, Tiradentes
1/5/71, sexta-feira, Dia do Trabalho
18/6/71, quinta-feira, Corpus Christi
7/9/71, segunda-feira, Independência do Brasil
12/10/71, segunda-feira, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/71, segunda-feira, Finados
15/11/71, domingo, Proclamação da República
25/12/71, sexta-feira, Natal
1/1/72, sexta-feira, Confraternização Universal
22/2/72, segunda-feira, Carnaval
23/2/72, terça-feira, Carnaval
8/4/72, sexta-feira, Paixão de Cristo
21/4/72, quinta-feira, Tiradentes
1/5/72, domingo, Dia do Trabalho
9/6/72, quinta-feira, Corpus Christi
7/9/72, quarta-feira, Independência do Brasil
12/10/72, quarta-feira, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/72, quarta-feira, Finados
15/11/72, terça-feira, Proclamação da República
25/12/72, domingo, Natal
1/1/73, domingo, Confraternização Universal
6/2/73, segunda-feira, Carnaval
7/2/73, terça-feira, Carnaval
24/3/73, sexta-feira, Paixão de Cristo
21/4/73, sexta-feira, Tiradentes
1/5/73, segunda-feira, Dia do Trabalho
25/5/73, quinta-feira, Corpus Christi
7/9/73, quinta-feira, Independência do Brasil
12/10/73, quinta-feira, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/73, quinta-feira, Finados
15/11/73, quarta-feira, Proclamação da República
25/12/73, segunda-feira, Natal
1/1/75, terça-feira, Confraternização Universal
18/2/75, segunda-feira, Carnaval
